,dataset1,dataset2,result_size,card_x,card_y,join_selectivity
0,diagonal_001_40.csv,diagonal_002_40.csv,24765610,496760,617440,80743.51468414524
1,diagonal_001_40.csv,diagonal_003_40.csv,18489934,496760,523920,71043.40447369376
2,diagonal_002_40.csv,diagonal_003_40.csv,32861082,617440,523920,101583.25401815746
3,diagonal_001_40.csv,gaussian_001_40.csv,5751287,496760,1091000,10611.912765757857
4,diagonal_002_40.csv,gaussian_001_40.csv,8206218,617440,1091000,12182.138650491228
5,diagonal_003_40.csv,gaussian_001_40.csv,6416182,523920,1091000,11225.015426960463
6,diagonal_001_40.csv,gaussian_002_40.csv,3547727,496760,623840,11448.019405811212
7,diagonal_002_40.csv,gaussian_002_40.csv,5018977,617440,623840,13030.084328869916
8,diagonal_003_40.csv,gaussian_002_40.csv,3884409,523920,623840,11884.659852644363
9,gaussian_001_40.csv,gaussian_002_40.csv,28421729,1091000,623840,41759.23419457714
10,diagonal_001_40.csv,gaussian_003_40.csv,3168611,496760,561840,11352.97422155313
11,diagonal_002_40.csv,gaussian_003_40.csv,4495135,617440,561840,12957.920841626616
12,diagonal_003_40.csv,gaussian_003_40.csv,3533807,523920,561840,12005.083742362827
13,gaussian_001_40.csv,gaussian_003_40.csv,25629491,1091000,561840,41812.1572656453
14,gaussian_002_40.csv,gaussian_003_40.csv,15716302,623840,561840,44839.885221959856
15,diagonal_001_40.csv,uniform_001_40.csv,1874031,496760,1042000,3620.4489931609037
16,diagonal_002_40.csv,uniform_001_40.csv,2797549,617440,1042000,4348.257171335647
17,diagonal_003_40.csv,uniform_001_40.csv,2219706,523920,1042000,4065.956795795112
18,gaussian_001_40.csv,uniform_001_40.csv,5304145,1091000,1042000,4665.765616780815
19,gaussian_002_40.csv,uniform_001_40.csv,3323195,623840,1042000,5112.283023010477
20,gaussian_003_40.csv,uniform_001_40.csv,2914537,561840,1042000,4978.393244789604
21,diagonal_001_40.csv,uniform_002_40.csv,871280,496760,473280,3705.8938404975124
22,diagonal_002_40.csv,uniform_002_40.csv,1294997,617440,473280,4431.551990675013
23,diagonal_003_40.csv,uniform_002_40.csv,1027602,523920,473280,4144.2105417205985
24,gaussian_001_40.csv,uniform_002_40.csv,2435461,1091000,473280,4716.700240891578
25,gaussian_002_40.csv,uniform_002_40.csv,1514763,623840,473280,5130.42470516963
26,gaussian_003_40.csv,uniform_002_40.csv,1339866,561840,473280,5038.839892627499
27,uniform_001_40.csv,uniform_002_40.csv,2180172,1042000,473280,4420.840909002425
28,diagonal_001_40.csv,uniform_003_40.csv,906113,496760,590160,3090.764905946641
29,diagonal_002_40.csv,uniform_003_40.csv,1362286,617440,590160,3738.554893322968
30,diagonal_003_40.csv,uniform_003_40.csv,1064363,523920,590160,3442.3499688162187
31,gaussian_001_40.csv,uniform_003_40.csv,2590229,1091000,590160,4022.9407874227463
32,gaussian_002_40.csv,uniform_003_40.csv,1586706,623840,590160,4309.7638668364825
33,gaussian_003_40.csv,uniform_003_40.csv,1438218,561840,590160,4337.528026920436
34,uniform_001_40.csv,uniform_003_40.csv,2339722,1042000,590160,3804.7556380169003
35,uniform_002_40.csv,uniform_003_40.csv,1074575,473280,590160,3847.2358385890107
