,dataset1,dataset2,result_size,card_x,card_y,join_selectivity
0,diagonal_001_1.csv,diagonal_002_1.csv,15906,12419,15436,82973.53270545819
1,diagonal_001_1.csv,diagonal_003_1.csv,11821,12419,13098,72671.24560064165
2,diagonal_002_1.csv,diagonal_003_1.csv,20152,15436,13098,99673.19931699919
3,diagonal_001_1.csv,gaussian_001_1.csv,3621,12419,27275,10689.986050025798
4,diagonal_002_1.csv,gaussian_001_1.csv,5092,15436,27275,12094.526371744223
5,diagonal_003_1.csv,gaussian_001_1.csv,4064,13098,27275,11375.852541631099
6,diagonal_001_1.csv,gaussian_002_1.csv,2257,12419,15596,11652.83790953065
7,diagonal_002_1.csv,gaussian_002_1.csv,3116,15436,15596,12943.432183493538
8,diagonal_003_1.csv,gaussian_002_1.csv,2443,13098,15596,11959.286066945137
9,gaussian_001_1.csv,gaussian_002_1.csv,17898,27275,15596,42075.23186866171
10,diagonal_001_1.csv,gaussian_003_1.csv,2028,12419,14046,11625.955585616408
11,diagonal_002_1.csv,gaussian_003_1.csv,2881,15436,14046,13287.883881476762
12,diagonal_003_1.csv,gaussian_003_1.csv,2259,13098,14046,12278.87507110496
13,gaussian_001_1.csv,gaussian_003_1.csv,16025,27275,14046,41829.30173256837
14,gaussian_002_1.csv,gaussian_003_1.csv,9933,15596,14046,45343.44834144594
15,diagonal_001_1.csv,uniform_001_1.csv,1173,12419,26050,3625.7984368264897
16,diagonal_002_1.csv,uniform_001_1.csv,1757,15436,26050,4369.475051217609
17,diagonal_003_1.csv,uniform_001_1.csv,1414,13098,26050,4144.161728988822
18,gaussian_001_1.csv,uniform_001_1.csv,3410,27275,26050,4799.344136549082
19,gaussian_002_1.csv,uniform_001_1.csv,2094,15596,26050,5154.134211291935
20,gaussian_003_1.csv,uniform_001_1.csv,1892,14046,26050,5170.8357212919545
21,diagonal_001_1.csv,uniform_002_1.csv,553,12419,11832,3763.3996764211265
22,diagonal_002_1.csv,uniform_002_1.csv,797,15436,11832,4363.805552065972
23,diagonal_003_1.csv,uniform_002_1.csv,675,13098,11832,4355.526152205081
24,gaussian_001_1.csv,uniform_002_1.csv,1513,27275,11832,4688.306625788847
25,gaussian_002_1.csv,uniform_002_1.csv,890,15596,11832,4823.015072431499
26,gaussian_003_1.csv,uniform_002_1.csv,825,14046,11832,4964.129740039898
27,uniform_001_1.csv,uniform_002_1.csv,1360,26050,11832,4412.381141483002
28,diagonal_001_1.csv,uniform_003_1.csv,556,12419,14754,3034.4388175979507
29,diagonal_002_1.csv,uniform_003_1.csv,915,15436,14754,4017.6911190637097
30,diagonal_003_1.csv,uniform_003_1.csv,635,13098,14754,3285.934937908663
31,gaussian_001_1.csv,uniform_003_1.csv,1501,27275,14754,3729.9770001318293
32,gaussian_002_1.csv,uniform_003_1.csv,952,15596,14754,4137.270749568811
33,gaussian_003_1.csv,uniform_003_1.csv,861,14046,14754,4154.709932628845
34,uniform_001_1.csv,uniform_003_1.csv,1441,26050,14754,3749.2679040551675
35,uniform_002_1.csv,uniform_003_1.csv,701,11832,14754,4015.596600108354
