,dataset1,dataset2,result_size,card_x,card_y,join_selectivity
0,diagonal_001_20.csv,diagonal_002_20.csv,18623794,286940,253520,256014.66254419848
1,diagonal_001_20.csv,diagonal_003_20.csv,31365869,286940,557280,196152.01471161013
2,diagonal_002_20.csv,diagonal_003_20.csv,32089801,253520,557280,227133.577092703
3,diagonal_001_20.csv,gaussian_001_20.csv,2523288,286940,353100,24904.51054187392
4,diagonal_002_20.csv,gaussian_001_20.csv,2432753,253520,353100,27176.158889854356
5,diagonal_003_20.csv,gaussian_001_20.csv,6337624,557280,353100,32207.37241119284
6,diagonal_001_20.csv,gaussian_002_20.csv,1903665,286940,315020,21060.14243400921
7,diagonal_002_20.csv,gaussian_002_20.csv,1812374,253520,315020,22693.29035673683
8,diagonal_003_20.csv,gaussian_002_20.csv,4778940,557280,315020,27221.997744725722
9,gaussian_001_20.csv,gaussian_002_20.csv,9031709,353100,315020,81195.89841058942
10,diagonal_001_20.csv,gaussian_003_20.csv,2821037,286940,372500,26393.161257667693
11,diagonal_002_20.csv,gaussian_003_20.csv,2747150,253520,372500,29090.009974988407
12,diagonal_003_20.csv,gaussian_003_20.csv,7150475,557280,372500,34445.711384346214
13,gaussian_001_20.csv,gaussian_003_20.csv,13279334,353100,372500,100960.68760109405
14,gaussian_002_20.csv,gaussian_003_20.csv,10276091,315020,372500,87571.65093171883
15,diagonal_001_20.csv,uniform_001_20.csv,553334,286940,233860,8245.942787933565
16,diagonal_002_20.csv,uniform_001_20.csv,500172,253520,233860,8436.28425191587
17,diagonal_003_20.csv,uniform_001_20.csv,1297268,557280,233860,9954.061116487188
18,gaussian_001_20.csv,uniform_001_20.csv,849043,353100,233860,10281.962671802106
19,gaussian_002_20.csv,uniform_001_20.csv,629340,315020,233860,8542.623445062407
20,gaussian_003_20.csv,uniform_001_20.csv,966375,372500,233860,11093.369118333288
21,diagonal_001_20.csv,uniform_002_20.csv,1144887,286940,453800,8792.391921161523
22,diagonal_002_20.csv,uniform_002_20.csv,1051382,253520,453800,9138.687352591161
23,diagonal_003_20.csv,uniform_002_20.csv,2718158,557280,453800,10748.22499309433
24,gaussian_001_20.csv,uniform_002_20.csv,1786045,353100,453800,11146.286139798865
25,gaussian_002_20.csv,uniform_002_20.csv,1351914,315020,453800,9456.848829566363
26,gaussian_003_20.csv,uniform_002_20.csv,2010635,372500,453800,11894.398088032158
27,uniform_001_20.csv,uniform_002_20.csv,1009812,233860,453800,9515.247527110972
28,diagonal_001_20.csv,uniform_003_20.csv,721098,286940,240480,10450.191135120154
29,diagonal_002_20.csv,uniform_003_20.csv,660802,253520,240480,10838.773961491133
30,diagonal_003_20.csv,uniform_003_20.csv,1704554,557280,240480,12719.157459795691
31,gaussian_001_20.csv,uniform_003_20.csv,1118446,353100,240480,13171.594128838518
32,gaussian_002_20.csv,uniform_003_20.csv,864404,315020,240480,11410.368689746825
33,gaussian_003_20.csv,uniform_003_20.csv,1248775,372500,240480,13940.519408610073
34,uniform_001_20.csv,uniform_003_20.csv,647636,233860,240480,11515.851958672809
35,uniform_002_20.csv,uniform_003_20.csv,1343293,453800,240480,12309.128254435745
